verdict,worth,soundness,soundness_score,rubric_coverage,audited_at,unknowns,repo_url,id,name,url,event,event_org,domain,subsystem,moves,stack,coolness,engagement,validation,event_prestige,recency,specificity,signal_richness,redundancy,likes,award,depth,has_deep,event_date,harvested_at,provenance,why_not_promoted,would_settle_it
,,,,,,,,ai-image-detector-9ayw71,realityCheCk.TSX - AI Image Detector,https://devpost.com/software/ai-image-detector-9ayw71,Devpost Software Showcase — Staff Picks & Rails,Devpost Editorial,"Public Trust, Safety & Compliance",Provenance & Anti-Deception,make-the-invisible-measurable|verification-first,clip,0.4605,0.220,0.550,0.380,1.000,0.710,0.280,0.059,,Unknown,listing,0,2026-09-18,2026-09-18,unaudited,not_audited,project page capture (deep)|artifact check via repo_verify.py
thin,tired,unverified,0.1125,0.64,2026-09-19,1,,ax4u-academy,AX4U Academy,https://devpost.com/software/ax4u-academy,Build with Gemini XPRIZE,XPRIZE,Learning & Knowledge Systems,Tutors & Adaptive Learning,,fastapi|firebase|gcp|geminiapi|github|html/css|javascript|node.js|python|sqlite,0.4387,0.220,0.100,0.820,0.951,0.740,0.550,0.148,,Unknown,deep,1,2026-08-17,2026-09-18,audited-hold,verdict:thin|artifact_exists failed → capped at 'thin' (A3)|unknown: numbers_with_arithmetic — no measurable outcome is asserted; a benchmark table would settle it,"no measurable outcome is asserted; a benchmark table would settle it|artifact_exists: a repository, deployment or store listing we can resolve|stack_consistency: a repository to compare the declared stack against|build_is_real: a readable source tree (a repo link, then `python3 pipeline/repo_verify.py`)|numbers_add_up: a denominator and baseline for the headline figure, or the raw log behind it"
,,,,,,,,ccss-laboratory-efficiency-tools,AppCCSS - Laboratory Efficiency Tools,https://devpost.com/software/ccss-laboratory-efficiency-tools,Build with Gemini XPRIZE,XPRIZE,"Health, Care & Human Performance",Care Navigation & Records,,,0.4377,0.220,0.100,0.820,0.951,0.860,0.280,0.071,,Unknown,listing,0,2026-08-17,2026-09-18,unaudited,not_audited,project page capture (deep)|artifact check via repo_verify.py
,,,,,,,,capo,Capo,https://devpost.com/software/capo,Build with Gemini XPRIZE,XPRIZE,"Creative Media, Story & Play",Production & Direction,crew-of-specialists,,0.4307,0.220,0.100,0.820,0.951,0.860,0.280,0.129,,Unknown,listing,0,2026-08-17,2026-09-18,unaudited,not_audited,project page capture (deep)|artifact check via repo_verify.py
,,,,,,,,kimocchi-voice-mood-tracker,Kimocchi - Voice Mood Tracker,https://devpost.com/software/kimocchi-voice-mood-tracker,Devpost Software Showcase — Staff Picks & Rails,Devpost Editorial,"Health, Care & Human Performance",Mental Health & Wellbeing,,,0.4281,0.220,0.550,0.380,1.000,0.520,0.280,0.107,,Unknown,listing,0,2026-09-18,2026-09-18,unaudited,not_audited,project page capture (deep)|artifact check via repo_verify.py
,,,,,,,,vex-edge-deterministic-boundary-autonomous-kernel,VEX-Edge: Deterministic Boundary Autonomous Kernel,https://devpost.com/software/vex-edge-deterministic-boundary-autonomous-kernel,Build with Gemini XPRIZE,XPRIZE,Agentic Autonomy & Orchestration,Agent Guardrails & Gating,offline-first-fallback|deterministic-guardrail,aws,0.4272,0.220,0.100,0.820,0.951,0.790,0.280,0.077,,Unknown,listing,0,2026-08-17,2026-09-18,unaudited,not_audited,project page capture (deep)|artifact check via repo_verify.py
,,,,,,,,anadita-your-ally-to-read-write-and-sell-more,"AnaDita - your ally to read, write, and sell more.",https://devpost.com/software/anadita-your-ally-to-read-write-and-sell-more,Build with Gemini XPRIZE,XPRIZE,"Creative Media, Story & Play",Generative Video & Audio,make-the-invisible-measurable,,0.4217,0.220,0.100,0.820,0.951,0.740,0.280,0.065,,Unknown,listing,0,2026-08-17,2026-09-18,unaudited,not_audited,project page capture (deep)|artifact check via repo_verify.py
,,,,,,,,finova-j9av5f,Finova,https://devpost.com/software/finova-j9av5f,Devpost Software Showcase — Staff Picks & Rails,Devpost Editorial,"Money, Commerce & Marketplaces",Fintech & Personal Finance,,flutter,0.4201,0.220,0.550,0.380,1.000,0.430,0.280,0.069,,Unknown,listing,0,2026-09-18,2026-09-18,unaudited,not_audited,project page capture (deep)|artifact check via repo_verify.py
thin,niche,weak,0.4141,0.64,2026-09-19,0,,mcop,MCOP,https://devpost.com/software/mcop,Build with Gemini XPRIZE,XPRIZE,Agentic Autonomy & Orchestration,Multi-Agent Crews,deterministic-guardrail|offline-first-fallback|institutional-grade-reliability|crew-of-specialists,typescript|next.js-15|pnpm|jest|cypress|codeql|cyclonedx-sbom|cuda|onnx|merkle-trees,0.4193,0.140,0.120,0.820,0.951,0.680,0.550,0.077,2,Submitted / No Award,deep,1,2026-08-17,2026-09-18,audited-hold,verdict:thin|artifact_exists failed → capped at 'thin' (A3),"artifact_exists: a repository, deployment or store listing we can resolve|stack_consistency: a repository to compare the declared stack against|build_is_real: a readable source tree (a repo link, then `python3 pipeline/repo_verify.py`)|numbers_add_up: a denominator and baseline for the headline figure, or the raw log behind it"
thin,niche,weak,0.3594,0.64,2026-09-19,0,,vms-ai-guard-fisheries-compliance-monitoring-alerts,VMS AI Guard - Fisheries Compliance Monitoring & Alerts,https://devpost.com/software/vms-ai-guard-fisheries-compliance-monitoring-alerts,Build with Gemini XPRIZE,XPRIZE,"Public Trust, Safety & Compliance",Regulatory & Audit Machinery,long-horizon-watcher|deterministic-guardrail|make-the-invisible-measurable,ai|api|node.js|python,0.4153,0.089,0.100,0.820,0.951,0.780,0.550,0.061,1,Unknown,deep,1,2026-08-17,2026-09-18,audited-hold,verdict:thin|artifact_exists failed → capped at 'thin' (A3)|hazard: compliance-signoff (no team disclaimer found),"artifact_exists: a repository, deployment or store listing we can resolve|stack_consistency: a repository to compare the declared stack against|build_is_real: a readable source tree (a repo link, then `python3 pipeline/repo_verify.py`)|numbers_add_up: a denominator and baseline for the headline figure, or the raw log behind it|test_or_eval_evidence: a published eval table, harness or CI run link with a case count"
,,,,,,,,autobom,AutoBOM,https://devpost.com/software/autobom,Build with Gemini XPRIZE,XPRIZE,Developer Tooling & Code Intelligence,"Build, CI & Release Plumbing",,,0.4117,0.220,0.100,0.820,0.951,0.660,0.280,0.054,,Unknown,listing,0,2026-08-17,2026-09-18,unaudited,not_audited,project page capture (deep)|artifact check via repo_verify.py
,,,,,,,,rasa-intelligence-the-company-brain,Tech Rasa Intelligence - AI Business Diagnostic,https://devpost.com/software/rasa-intelligence-the-company-brain,Build with Gemini XPRIZE,XPRIZE,"Health, Care & Human Performance",Screening & Diagnostics,,,0.4116,0.220,0.100,0.820,0.951,0.660,0.280,0.056,,Unknown,listing,0,2026-08-17,2026-09-18,unaudited,not_audited,project page capture (deep)|artifact check via repo_verify.py
,,,,,,,,mercury-bx4dun,Mercury,https://devpost.com/software/mercury-bx4dun,Devpost Software Showcase — Staff Picks & Rails,Devpost Editorial,"Money, Commerce & Marketplaces",Retail & Conversion,,,0.4114,0.220,0.550,0.380,1.000,0.380,0.280,0.083,,Unknown,listing,0,2026-09-18,2026-09-18,unaudited,not_audited,project page capture (deep)|artifact check via repo_verify.py
,,,,,,,,browsegraph,BrowseGraph,https://devpost.com/software/browsegraph,Devpost Software Showcase — Staff Picks & Rails,Devpost Editorial,Learning & Knowledge Systems,Search & Retrieval,,bluetooth,0.4030,0.220,0.550,0.380,1.000,0.310,0.280,0.071,,Unknown,listing,0,2026-09-18,2026-09-18,unaudited,not_audited,project page capture (deep)|artifact check via repo_verify.py
,,,,,,,,real-time-object-detection-nxyikp,Real Time Object Detection,https://devpost.com/software/real-time-object-detection-nxyikp,Build with Gemini XPRIZE,XPRIZE,Emerging & Cross-Domain,Unclassified,,,0.4013,0.220,0.100,0.820,0.951,0.600,0.280,0.071,,Unknown,listing,0,2026-08-17,2026-09-18,unaudited,not_audited,project page capture (deep)|artifact check via repo_verify.py
,,,,,,,,calc-506yp2,CALC,https://devpost.com/software/calc-506yp2,Build with Gemini XPRIZE,XPRIZE,Agentic Autonomy & Orchestration,General,crew-of-specialists,,0.4001,0.220,0.100,0.820,0.951,0.600,0.280,0.081,,Unknown,listing,0,2026-08-17,2026-09-18,unaudited,not_audited,project page capture (deep)|artifact check via repo_verify.py
,,,,,,,,asylonia-com,Asylonia.com,https://devpost.com/software/asylonia-com,Build with Gemini XPRIZE,XPRIZE,Agentic Autonomy & Orchestration,General,constraint-is-the-feature,gemini,0.4000,0.220,0.100,0.820,0.951,0.610,0.280,0.094,,Unknown,listing,0,2026-08-17,2026-09-18,unaudited,not_audited,project page capture (deep)|artifact check via repo_verify.py
,,,,,,,,neuthera-drug-discovery-platform,Neuthera - Drug discovery toolkit,https://devpost.com/software/neuthera-drug-discovery-platform,Devpost Software Showcase — Staff Picks & Rails,Devpost Editorial,"Health, Care & Human Performance",Screening & Diagnostics,,,0.3973,0.220,0.550,0.380,1.000,0.260,0.280,0.061,,Featured by Devpost Staff,listing,0,2026-09-18,2026-09-18,unaudited,not_audited,project page capture (deep)|artifact check via repo_verify.py
,,,,,,,,tower-dq18x2,Tower,https://devpost.com/software/tower-dq18x2,All Things Agentic Hackathon,Google,Agentic Autonomy & Orchestration,Long-Horizon Autonomy,long-horizon-watcher,wearable,0.3963,0.220,0.100,0.732,0.973,0.650,0.280,0.087,,Unknown,listing,0,2026-08-31,2026-09-18,unaudited,not_audited,project page capture (deep)|artifact check via repo_verify.py
,,,,,,,,preopcare,PreOpCare,https://devpost.com/software/preopcare,Build with Gemini XPRIZE,XPRIZE,Agentic Autonomy & Orchestration,General,,gemini,0.3936,0.220,0.100,0.820,0.951,0.550,0.280,0.077,,Unknown,listing,0,2026-08-17,2026-09-18,unaudited,not_audited,project page capture (deep)|artifact check via repo_verify.py
,,,,,,,,cota-xo9prl,COTA,https://devpost.com/software/cota-xo9prl,Build with Gemini XPRIZE,XPRIZE,Agentic Autonomy & Orchestration,General,,react|typescript|postgres,0.3926,0.220,0.100,0.820,0.951,0.520,0.280,0.050,,Unknown,listing,0,2026-08-17,2026-09-18,unaudited,not_audited,project page capture (deep)|artifact check via repo_verify.py
,,,,,,,,kora-ai-back-office,Kora-AI Back Office,https://devpost.com/software/kora-ai-back-office,Build with Gemini XPRIZE,XPRIZE,Agentic Autonomy & Orchestration,Agent Guardrails & Gating,,,0.3923,0.220,0.100,0.820,0.951,0.520,0.280,0.053,,Unknown,listing,0,2026-08-17,2026-09-18,unaudited,not_audited,project page capture (deep)|artifact check via repo_verify.py
,,,,,,,,fast-emergency-action-response-system,Fast Emergency Action Response System,https://devpost.com/software/fast-emergency-action-response-system,Devpost Software Showcase — Staff Picks & Rails,Devpost Editorial,"Climate, Energy & the Physical World",Logistics & Field Operations,,,0.3910,0.220,0.550,0.380,1.000,0.220,0.280,0.067,,Unknown,listing,0,2026-09-18,2026-09-18,unaudited,not_audited,project page capture (deep)|artifact check via repo_verify.py
